PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
2322,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2322,,,C0221423,Illness (finding),,,,,,
2322,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
2322,,,C0018681,Headache,,,,,,
2322,,,,,C0028678,nursing therapy,,,,
2322,,,,,C0301571,Liquid diet,,,,
2322,,,,,C0079613,Adoptive Immunotherapy,,,,
2322,,,,,C0152277,Incision and drainage,,,,
2322,,,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,
2322,,,,,,,C1251800,Acyclovir Topical Cream,,
2322,,,,,,,,,C1281590,Entire head
2322,,,,,,,,,C0040421,Palatine Tonsil
2322,,,,,,,,,C0018563,Hand
2322,,,,,,,,,C0031354,Pharyngeal structure
2322,,,,,,,,,C0016504,Foot
2323,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2323,,,C0015230,Exanthema,,,,,,
2323,,,C0033774,Pruritus,,,,,,
2323,,,C0242429,Sore Throat,,,,,,
2323,,,C0085624,Burning sensation,,,,,,
2323,,,C1579931,Depressed - symptom,,,,,,
2323,,,C0030193,Pain,,,,,,
2323,,,C0234233,Sore to touch,,,,,,
2323,,,,,C2003844,Shampooing (action),,,,
2323,,,,,,,C0974143,Aloe vera gel,,
2323,,,,,,,,,C1281590,Entire head
2323,,,,,,,,,C1278997,Entire scalp
2323,,,,,,,,,C1280698,Entire throat (surface region of neck)
2323,,,,,,,,,C0018563,Hand
2323,,,,,,,,,C0018494,Hair
2323,,,,,,,,,C0521421,Entire ear
2323,,,,,,,,,C0016504,Foot
2324,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2324,,,C1442877,Sore skin,,,,,,
2324,,,C0015230,Exanthema,,,,,,
2324,,,C0231218,Malaise,,,,,,
2324,,,C0242429,Sore Throat,,,,,,
2324,,,C0040822,Tremor,,,,,,
2324,,,C0085593,Chills,,,,,,
2324,,,,,,,,,C1278920,Entire stomach
2324,,,,,,,,,C1280698,Entire throat (surface region of neck)
2324,,,,,,,,,C0040067,Thumb structure
2324,,,,,,,,,C0018563,Hand
2324,,,,,,,,,C0559499,Biceps brachii muscle structure
2324,,,,,,,,,C0016504,Foot
2325,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2325,,,C0221423,Illness (finding),,,,,,
2325,,,C0741585,BODY ACHE,,,,,,
2325,,,C0015230,Exanthema,,,,,,
2325,,,C0231218,Malaise,,,,,,
2325,,,C0033774,Pruritus,,,,,,
2325,,,C0085624,Burning sensation,,,,,,
2325,,,C0231528,Myalgia,,,,,,
2325,,,C0030193,Pain,,,,,,
2325,,,C0028084,Nightmares,,,,,,
2325,,,C0241057,Burning sensation of skin,,,,,,
2325,,,,,C0204774,Soaking Procedure,,,,
2325,,,,,C0150141,Bathing,,,,
2325,,,,,C0152277,Incision and drainage,,,,
2325,,,,,,,,,C0018563,Hand
2325,,,,,,,,,C0222224,Skin structure of hand
2325,,,,,,,,,C0016504,Foot
2326,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2326,,,C0003862,Arthralgia,,,,,,
2326,,,C0741585,BODY ACHE,,,,,,
2326,,,C0015230,Exanthema,,,,,,
2326,,,C0015672,Fatigue,,,,,,
2326,,,C0231218,Malaise,,,,,,
2326,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
2326,,,C0242429,Sore Throat,,,,,,
2326,,,C2242996,Has tingling sensation,,,,,,
2326,,,C0234230,Pain| Burning,,,,,,
2326,,,C0030193,Pain,,,,,,
2326,,,C0221232,Welts,,,,,,
2326,,,,,,,,,C0018563,Hand
2326,,,,,,,,,C0016504,Foot
2327,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2327,,,C0234238,Ache,,,,,,
2327,,,C0085635,Photopsia,,,,,,
2327,,,C0242429,Sore Throat,,,,,,
2327,,,C0030193,Pain,,,,,,
2327,,,C0234255,Night pain,,,,,,
2327,,,C0234233,Sore to touch,,,,,,
2327,,,,,,,,,C0018563,Hand
2327,,,,,,,,,C1280698,Entire throat (surface region of neck)
2327,,,,,,,,,C1281587,Entire foot
2327,,,,,,,,,C1281591,Entire face
2327,,,,,,,,,C0521421,Entire ear
2327,,,,,,,,,C0016504,Foot
2328,C0018939,Hematological Disease,,,,,,,,
2328,,,C0741585,BODY ACHE,,,,,,
2328,,,C0027497,Nausea,,,,,,
2328,,,C0015672,Fatigue,,,,,,
2328,,,C0849967,feeling run down,,,,,,
2328,,,,,,,,,C0588054,Cervical lymph node group
2328,,,,,,,,,C0022359,Jaw
2329,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2329,,,C0015230,Exanthema,,,,,,
2329,,,C0015672,Fatigue,,,,,,
2329,,,C0033774,Pruritus,,,,,,
2329,,,C0242429,Sore Throat,,,,,,
2329,,,C0028084,Nightmares,,,,,,
2329,,,,,C0079613,Adoptive Immunotherapy,,,,
2329,,,,,,,,,C0018563,Hand
2329,,,,,,,,,C1278911,Entire lip
2329,,,,,,,,,C0016504,Foot
2330,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2330,,,C0011991,Diarrhea,,,,,,
2330,,,C1442877,Sore skin,,,,,,
2330,,,C0015230,Exanthema,,,,,,
2330,,,C0027497,Nausea,,,,,,
2330,,,C0242429,Sore Throat,,,,,,
2330,,,C0848283,rundown,,,,,,
2330,,,,,,,,,C0018563,Hand
2330,,,,,,,,,C0016504,Foot
2331,C0018995,Hemochromatosis,,,,,,,,
2332,C0018995,Hemochromatosis,,,,,,,,
2332,,,C0557875,Tired,,,,,,
2332,,,C0234233,Sore to touch,,,,,,
2332,,,,,,,,,C1995013,Set of muscles
2333,C0018939,Hematological Disease,,,,,,,,
2333,,,C1291077,Abdominal bloating,,,,,,
2333,,,C0018681,Headache,,,,,,
2333,,,C0151315,Neck stiffness,,,,,,
2333,,,C0683369,Clouded consciousness,,,,,,
2333,,,C0234233,Sore to touch,,,,,,
2333,,,,,,,,,C0040132,Thyroid Gland
2333,,,,,,,,,C0023884,Liver
2333,,,,,,,,,C0006104,Brain
2334,C0018939,Hematological Disease,,,,,,,,
2334,,,,,C1293134,Enlargement procedure,,,,
2334,,,,,,,,,C0022359,Jaw
2335,C0023530,Leukopenia,,,,,,,,
2335,,,C0557875,Tired,,,,,,
2335,,,C0015672,Fatigue,,,,,,
2335,,,C0030193,Pain,,,,,,
2335,,,C0028081,Night sweats,,,,,,
2335,,,,,,,,,C0230347,Left upper arm structure
2336,C0018939,Hematological Disease,,,,,,,,
2336,,,,,,,,,C1281591,Entire face
2337,C0018939,Hematological Disease,,,,,,,,
2337,,,C0028081,Night sweats,,,,,,
2337,,,,,,,,,C2937240,Upper abdomen structure
2337,,,,,,,,,C0024204,lymph nodes
2337,,,,,,,,,C1281594,Entire abdomen
2337,,,,,,,,,C1281592,Entire neck
2338,C0018939,Hematological Disease,,,,,,,,
2338,,,C0221423,Illness (finding),,,,,,
2338,,,C0151825,Bone pain,,,,,,
2338,,,C0015672,Fatigue,,,,,,
2338,,,C0600142,Hot flushes,,,,,,
2338,,,C0030193,Pain,,,,,,
2338,,,C0028081,Night sweats,,,,,,
2338,,,,,C0439631,Primary operation,,,,
2338,,,,,,,,,C0026369,Structure of wisdom tooth
2339,C0018939,Hematological Disease,,,,,,,,
2339,,,C0234238,Ache,,,,,,
2339,,,C0557875,Tired,,,,,,
2339,,,C0030193,Pain,,,,,,
2340,C0031350,Pharyngitis,,,,,,,,
2340,,,C0577573,Mass of body region,,,,,,
2340,,,C0221423,Illness (finding),,,,,,
2340,,,C0558920,Lump on thigh,,,,,,
2340,,,C0242429,Sore Throat,,,,,,
2340,,,,,,,,,C0024204,lymph nodes
2340,,,,,,,,,C0729596,Inguinal lymph node group
2341,C0018939,Hematological Disease,,,,,,,,
2342,C0018939,Hematological Disease,,,,,,,,
2342,,,C0037088,Signs and Symptoms,,,,,,
2342,,,C0557875,Tired,,,,,,
2342,,,C0687681,Feeling feverish,,,,,,
2342,,,C0028081,Night sweats,,,,,,
2342,,,,,,,,,C1281590,Entire head
2342,,,,,,,,,C1266908,Entire bone (organ)
2342,,,,,,,,,C0521421,Entire ear
2343,C0018939,Hematological Disease,,,,,,,,
2344,C0018939,Hematological Disease,,,,,,,,
2344,,,C0016204,Flatulence,,,,,,
2344,,,C3714552,Weakness,,,,,,
2344,,,,,,,,,C1269612,Entire upper arm
2345,C0032461,Polycythemia,,,,,,,,
2345,,,C0748706,side pain,,,,,,
2345,,,C0015672,Fatigue,,,,,,
2345,,,C0039070,Syncope,,,,,,
2345,,,C1579931,Depressed - symptom,,,,,,
2345,,,C0004604,Back Pain,,,,,,
2345,,,,,,,,,C2937240,Upper abdomen structure
2345,,,,,,,,,C0042027,Urinary tract
2345,,,,,,,,,C0037993,Spleen
2345,,,,,,,,,C1281594,Entire abdomen
2346,C0018939,Hematological Disease,,,,,,,,
2346,,,C0221423,Illness (finding),,,,,,
2346,,,C0231218,Malaise,,,,,,
2346,,,C0042571,Vertigo,,,,,,
2346,,,C0030193,Pain,,,,,,
2346,,,,,C0087111,Therapeutic procedure,,,,
2346,,,,,,,,,C0376152,Marrow
2346,,,,,,,,,C1184743,bony process
2347,C0018939,Hematological Disease,,,,,,,,
2347,,,C0015672,Fatigue,,,,,,
2347,,,C0231218,Malaise,,,,,,
2347,,,C0028081,Night sweats,,,,,,
2347,,,,,C0474166,Medical counseling,,,,
2347,,,,,,,,,C0031354,Pharyngeal structure
2347,,,,,,,,,C0024204,lymph nodes
2348,C0018939,Hematological Disease,,,,,,,,
2348,,,C0231218,Malaise,,,,,,
2348,,,C0242429,Sore Throat,,,,,,
2348,,,C0423628,Painful teething,,,,,,
2348,,,C0010200,Coughing,,,,,,
2348,,,C0030193,Pain,,,,,,
2348,,,C0027769,Nervousness,,,,,,
2348,,,,,C1293134,Enlargement procedure,,,,
2348,,,,,,,,,C0026369,Structure of wisdom tooth
2348,,,,,,,,,C0017562,Gingiva
2348,,,,,,,,,C0746922,Anatomic Node
2348,,,,,,,,,C1281586,Entire thigh
2348,,,,,,,,,C0040426,Tooth structure
2348,,,,,,,,,C0022359,Jaw
2349,C0018939,Hematological Disease,,,,,,,,
2349,,,C0581334,lump on leg,,,,,,
2349,,,C0242429,Sore Throat,,,,,,
2349,,,C0040460,Toothache,,,,,,
2349,,,,,,,,,C0746922,Anatomic Node
2349,,,,,,,,,C0024204,lymph nodes
2350,C0018939,Hematological Disease,,,,,,,,
2350,,,C0577573,Mass of body region,,,,,,
2350,,,C0037088,Signs and Symptoms,,,,,,
2350,,,C0857027,Feeling Sick,,,,,,
2350,,,C0476227,pricking of skin,,,,,,
2350,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
2350,,,C0030193,Pain,,,,,,
2350,,,C0040822,Tremor,,,,,,
2350,,,C0006625,Cachexia,,,,,,
2350,,,C0028643,Numbness,,,,,,
2350,,,C0221423,Illness (finding),,,,,,
2350,,,C0024031,Low Back Pain,,,,,,
2350,,,C0027498,Nausea and vomiting,,,,,,
2350,,,C0238740,severe back pain,,,,,,
2350,,,,,C0152060,Transection (procedure),,,,
2350,,,,,C0021083,Immunotherapy,,,,
2350,,,,,C0184661,Interventional procedure,,,,
2350,,,,,C0040461,Toothbrushing,,,,
2350,,,,,C0748725,sinus surgery,,,,
2350,,,,,C1883297,laparoscopy (therapeutic),,,,
2350,,,,,C0152277,Incision and drainage,,,,
2350,,,,,C1963578,Release (procedure),,,,
2350,,,,,C0020699,Hysterectomy,,,,
2350,,,,,C1299353,Outpatient procedure,,,,
2350,,,,,,,,,C0227073,Mandibular right first molar
2350,,,,,,,,,C1269612,Entire upper arm
2350,,,,,,,,,C1280541,Entire nerve
2350,,,,,,,,,C0029939,Ovary
2350,,,,,,,,,C1285092,Gland
2350,,,,,,,,,C0224335,Structure of muscle of lower back
2350,,,,,,,,,C0005847,Blood Vessel
2350,,,,,,,,,C0423866,Lanugo
2351,C0018939,Hematological Disease,,,,,,,,
2351,,,C0234238,Ache,,,,,,
2351,,,C0012833,Dizziness,,,,,,
2351,,,C0018681,Headache,,,,,,
2351,,,C0030193,Pain,,,,,,
2352,C0401151,Chronic diarrhea,,,,,,,,
2352,,,C0085631,Agitation,,,,,,
2352,,,C0027497,Nausea,,,,,,
2352,,,C0033774,Pruritus,,,,,,
2352,,,C3714552,Weakness,,,,,,
2352,,,C0010200,Coughing,,,,,,
2352,,,C0039070,Syncope,,,,,,
2352,,,C0040822,Tremor,,,,,,
2352,,,C0004604,Back Pain,,,,,,
2352,,,C0030193,Pain,,,,,,
2352,,,,,C0040590,Tracheostomy procedure,,,,
2352,,,,,,,,,C1281584,Entire finger
2352,,,,,,,,,C0006104,Brain
2352,,,,,,,,,C1184743,bony process
2352,,,,,,,,,C0729596,Inguinal lymph node group
2352,,,,,,,,,C1281592,Entire neck
2353,C0018939,Hematological Disease,,,,,,,,
2354,C0018939,Hematological Disease,,,,,,,,
2354,,,C0231217,Multiple symptoms,,,,,,
2354,,,C0683369,Clouded consciousness,,,,,,
2354,,,C0392674,Exhaustion,,,,,,
2354,,,,,C0472699,Hemopoietic stem cell transplant,,,,
2354,,,,,C0013103,Drainage procedure,,,,
2354,,,,,C3275067,Cardiac Lead Procedure,,,,
2354,,,,,,,,,C0015392,Eye
2355,C0018939,Hematological Disease,,,,,,,,
2355,,,C0030193,Pain,,,,,,
2355,,,C0455270,Sharp pain,,,,,,
2355,,,,,C0600080,Stretching exercises,,,,
2355,,,,,,,,,C1281569,Entire colon
2355,,,,,,,,,C0746922,Anatomic Node
2355,,,,,,,,,C1281592,Entire neck
2356,C0018939,Hematological Disease,,,,,,,,
2356,,,C0557875,Tired,,,,,,
2356,,,C0000737,Abdominal Pain,,,,,,
2356,,,C0030193,Pain,,,,,,
2356,,,,,C1519433,Special Diet Therapy,,,,
2356,,,,,,,,,C0229962,Body part
2357,C0018939,Hematological Disease,,,,,,,,
2357,,,,,,,,,C0023884,Liver
2357,,,,,,,,,C0507115,Superior segmental bronchus
2358,C0018939,Hematological Disease,,,,,,,,
2358,,,C0015230,Exanthema,,,,,,
2358,,,C0033774,Pruritus,,,,,,
2358,,,C0240007,Inguinal mass,,,,,,
2358,,,C0004604,Back Pain,,,,,,
2358,,,,,C0152277,Incision and drainage,,,,
2358,,,,,,,,,C1278920,Entire stomach
2359,C0018939,Hematological Disease,,,,,,,,
2359,,,C0030193,Pain,,,,,,
2359,,,,,C0004910,Bed rest,,,,
2359,,,,,,,,,C0030797,Pelvis
2360,C0018939,Hematological Disease,,,,,,,,
2360,,,C0030193,Pain,,,,,,
2361,C0018939,Hematological Disease,,,,,,,,
2361,,,C0030193,Pain,,,,,,
2362,C0018939,Hematological Disease,,,,,,,,
2362,,,,,C0311164,Vegetarian diet,,,,
2362,,,,,C1522704,Exercise Pain Management,,,,
2363,C0018939,Hematological Disease,,,,,,,,
2363,,,C0024031,Low Back Pain,,,,,,
2363,,,C0037763,Spasm,,,,,,
2363,,,C0221161,Shallow breathing,,,,,,
2363,,,C0004604,Back Pain,,,,,,
2363,,,C0030193,Pain,,,,,,
2363,,,C1321587,Breathing abnormally deep,,,,,,
2363,,,C0013404,Dyspnea,,,,,,
2363,,,,,C0459959,Myeloma screening,,,,
2363,,,,,,,,,C0507205,Right scapula
2363,,,,,,,,,C0018787,Heart
2364,C0018995,Hemochromatosis,,,,,,,,
2364,,,C0015672,Fatigue,,,,,,
2364,,,C0027769,Nervousness,,,,,,
2364,,,,,C0339897,Transjugular intrahepatic portosystemic shunt procedure,,,,
2364,,,,,C1519433,Special Diet Therapy,,,,
2364,,,,,C0005857,Bloodletting,,,,
2364,,,,,C0087111,Therapeutic procedure,,,,
2365,C0018939,Hematological Disease,,,,,,,,
2365,,,C0015672,Fatigue,,,,,,
2365,,,C1291077,Abdominal bloating,,,,,,
2365,,,C3714552,Weakness,,,,,,
2365,,,C0013404,Dyspnea,,,,,,
2365,,,,,,,,,C0224086,Belly of skeletal muscle
2365,,,,,,,,,C0024204,lymph nodes
2365,,,,,,,,,C0588054,Cervical lymph node group
2366,C0272285,Heparin-induced thrombocytopenia,,,,,,,,
2366,,,,,C0005857,Bloodletting,,,,
2367,C0018939,Hematological Disease,,,,,,,,
2367,,,C0221512,Stomach ache,,,,,,
2367,,,C0009806,Constipation,,,,,,
2367,,,C0000737,Abdominal Pain,,,,,,
2367,,,C0027497,Nausea,,,,,,
2367,,,C0015672,Fatigue,,,,,,
2367,,,C0231218,Malaise,,,,,,
2367,,,C1291077,Abdominal bloating,,,,,,
2367,,,C0027769,Nervousness,,,,,,
2367,,,,,C0056167,cyclophosphamide/methotrexate/prednisone/vincristine protocol,,,,
2367,,,,,C1522704,Exercise Pain Management,,,,
2367,,,,,C3275067,Cardiac Lead Procedure,,,,
2367,,,,,,,,,C0018563,Hand
2367,,,,,,,,,C0009368,Colon structure (body structure)
2367,,,,,,,,,C0038351,Stomach
2367,,,,,,,,,C0016504,Foot
2368,C0018939,Hematological Disease,,,,,,,,
2368,,,C0221423,Illness (finding),,,,,,
2368,,,C0030193,Pain,,,,,,
2368,,,,,C1306232,Severing,,,,
2368,,,,,C1293134,Enlargement procedure,,,,
2368,,,,,,,,,C0040132,Thyroid Gland
2368,,,,,,,,,C0746922,Anatomic Node
2368,,,,,,,,,C0024204,lymph nodes
2368,,,,,,,,,C0588054,Cervical lymph node group
2368,,,,,,,,,C1281592,Entire neck
2369,C0017168,Gastroesophageal reflux disease,,,,,,,,
2369,,,C0018834,Heartburn,,,,,,
2370,C0018995,Hemochromatosis,,,,,,,,
2370,,,,,C0020699,Hysterectomy,,,,
2371,C0018995,Hemochromatosis,,,,,,,,
2371,,,,,C0005857,Bloodletting,,,,
2372,C0021400,Influenza,,,,,,,,
2372,,,C0557875,Tired,,,,,,
2372,,,C0027497,Nausea,,,,,,
2372,,,,,C0005857,Bloodletting,,,,
2373,C0018995,Hemochromatosis,,,,,,,,
2373,,,C0557875,Tired,,,,,,
2373,,,C0231218,Malaise,,,,,,
2373,,,C0023380,Lethargy,,,,,,
2373,,,,,C0087111,Therapeutic procedure,,,,
2374,C0392514,Hereditary hemochromatosis,,,,,,,,
2374,,,C0003862,Arthralgia,,,,,,
2374,,,C0152031,Joint swelling,,,,,,
2374,,,C0015672,Fatigue,,,,,,
2374,,,,,C0005857,Bloodletting,,,,
2374,,,,,,,,,C1552158,Supernumerary mandibular right central primary incisor
2374,,,,,,,,,C0040132,Thyroid Gland
2374,,,,,,,,,C1305417,Entire elbow region
2374,,,,,,,,,C0022742,Knee
2374,,,,,,,,,C0019552,Hip structure
2374,,,,,,,,,C1281584,Entire finger
2375,C0018995,Hemochromatosis,,,,,,,,
2375,,,C0036572,Seizures,,,,,,
2375,,,C0221512,Stomach ache,,,,,,
2375,,,C0030193,Pain,,,,,,
2375,,,,,C3275067,Cardiac Lead Procedure,,,,
2375,,,,,,,,,C0037993,Spleen
2375,,,,,,,,,C0006104,Brain
2376,C0018995,Hemochromatosis,,,,,,,,
2377,C0012634,Disease,,,,,,,,
2377,,,C0234238,Ache,,,,,,
2377,,,C0557875,Tired,,,,,,
2377,,,C0232492,Upper abdominal pain,,,,,,
2377,,,,,C0005857,Bloodletting,,,,
2377,,,,,C0087111,Therapeutic procedure,,,,
2377,,,,,,,,,C0507205,Right scapula
2378,C0392514,Hereditary hemochromatosis,,,,,,,,
2378,,,,,C0005857,Bloodletting,,,,
2378,,,,,,,,,C0033572,Prostate
2379,C0018995,Hemochromatosis,,,,,,,,
2380,C0018995,Hemochromatosis,,,,,,,,
2380,,,C0015672,Fatigue,,,,,,
2380,,,C0018681,Headache,,,,,,
2380,,,,,C1519433,Special Diet Therapy,,,,
2381,C0018995,Hemochromatosis,,,,,,,,
2381,,,C0221423,Illness (finding),,,,,,
2381,,,,,,,,,C0018563,Hand
2381,,,,,,,,,C0042449,Veins
2382,C0018995,Hemochromatosis,,,,,,,,
2383,C0018995,Hemochromatosis,,,,,,,,
2383,,,C0000737,Abdominal Pain,,,,,,
2383,,,C0027497,Nausea,,,,,,
2383,,,C0015672,Fatigue,,,,,,
2383,,,C0030193,Pain,,,,,,
2383,,,,,C0600080,Stretching exercises,,,,
2383,,,,,C1522704,Exercise Pain Management,,,,
2384,C0018995,Hemochromatosis,,,,,,,,
2384,,,,,C0005857,Bloodletting,,,,
2385,C0018995,Hemochromatosis,,,,,,,,
2385,,,,,C0441610,Reduction - action,,,,
2386,C0018995,Hemochromatosis,,,,,,,,
2386,,,C0281856,Generalized aches and pains,,,,,,
2386,,,C0235240,Pounding heart,,,,,,
2386,,,C0231528,Myalgia,,,,,,
2386,,,C3714552,Weakness,,,,,,
2386,,,C0023380,Lethargy,,,,,,
2386,,,,,C0242297,Dietary Supplementation,,,,
2386,,,,,C1522704,Exercise Pain Management,,,,
2386,,,,,,,,,C0018787,Heart
2386,,,,,,,,,C0040067,Thumb structure
2386,,,,,,,,,C0018563,Hand
2386,,,,,,,,,C0023884,Liver
2387,C0018995,Hemochromatosis,,,,,,,,
2388,C0392514,Hereditary hemochromatosis,,,,,,,,
2388,,,,,,,,,C0023884,Liver
2389,C0018995,Hemochromatosis,,,,,,,,
2389,,,C0683369,Clouded consciousness,,,,,,
2389,,,,,C0574032,Infusion procedures,,,,
2389,,,,,C0850054,iron injection,,,,
2390,C0003873,Rheumatoid Arthritis,,,,,,,,
2390,,,C0007859,Neck Pain,,,,,,
2390,,,C4042866,Symptom Flare Up,,,,,,
2390,,,C0239833,Hand pain,,,,,,
2390,,,C0030193,Pain,,,,,,
2390,,,C0917801,Sleeplessness,,,,,,
2390,,,C0863085,sore feet,,,,,,
2390,,,,,,,,,C1278920,Entire stomach
2390,,,,,,,,,C0018534,Hallux structure
2390,,,,,,,,,C1305417,Entire elbow region
2390,,,,,,,,,C0018563,Hand
2390,,,,,,,,,C0040067,Thumb structure
2390,,,,,,,,,C0224972,Structure of tendon of foot
2390,,,,,,,,,C0022359,Jaw
2390,,,,,,,,,C1281592,Entire neck
2391,C0018995,Hemochromatosis,,,,,,,,
2391,,,,,,,,,C0423866,Lanugo
2392,C0018995,Hemochromatosis,,,,,,,,
2392,,,,,C0684257,Venesection,,,,
2393,C0018995,Hemochromatosis,,,,,,,,
2394,C0018995,Hemochromatosis,,,,,,,,
2394,,,C0016204,Flatulence,,,,,,
2394,,,C0235299,Right upper quadrant pain,,,,,,
2394,,,C1291077,Abdominal bloating,,,,,,
2394,,,C0242030,pain with eating,,,,,,
2394,,,C0004604,Back Pain,,,,,,
2394,,,C0030193,Pain,,,,,,
2394,,,,,,,,,C0038351,Stomach
2394,,,,,,,,,C0040426,Tooth structure
2394,,,,,,,,,C0016976,Gallbladder
2394,,,,,,,,,C1281591,Entire face
2394,,,,,,,,,C1269001,Entire gallbladder
2395,C0018995,Hemochromatosis,,,,,,,,
2396,C0423086,Staring,,,,,,,,
2396,,,C0011991,Diarrhea,,,,,,
2396,,,C0030193,Pain,,,,,,
2396,,,C0232431,Cold sweat,,,,,,
2396,,,C0028084,Nightmares,,,,,,
2396,,,C0221100,Hangover from any Alcohol or Other Drugs substance,,,,,,
2396,,,C0234233,Sore to touch,,,,,,
2396,,,,,C0013103,Drainage procedure,,,,
2396,,,,,C0014268,Administration of enema,,,,
2396,,,,,C0184661,Interventional procedure,,,,
2396,,,,,C0150141,Bathing,,,,
2396,,,,,C0184958,Toilet procedure,,,,
2396,,,,,C1963578,Release (procedure),,,,
2396,,,,,,,,,C0224086,Belly of skeletal muscle
2396,,,,,,,,,C0005682,Urinary Bladder
2397,C0019112,Hemorrhoids,,,,,,,,
2397,,,C2364135,Actual Discomfort,,,,,,
2397,,,,,C0013103,Drainage procedure,,,,
2398,C0018995,Hemochromatosis,,,,,,,,
2399,C0018995,Hemochromatosis,,,,,,,,
2400,C0018995,Hemochromatosis,,,,,,,,
2400,,,C0015672,Fatigue,,,,,,
2401,C0019112,Hemorrhoids,,,,,,,,
2402,C0018995,Hemochromatosis,,,,,,,,
2402,,,C0427008,Stiffness,,,,,,
2402,,,,,C0017296,gene therapy,,,,
2403,C0019112,Hemorrhoids,,,,,,,,
2403,,,C0234238,Ache,,,,,,
2403,,,C0278144,Dull pain,,,,,,
2404,C0019112,Hemorrhoids,,,,,,,,
2404,,,C0278144,Dull pain,,,,,,
2404,,,C0016382,Flushing,,,,,,
2404,,,C0030193,Pain,,,,,,
2404,,,,,C0204558,Group reassurance,,,,
2404,,,,,C0150141,Bathing,,,,
2404,,,,,C0184958,Toilet procedure,,,,
2404,,,,,C3272275,Urgent Procedure,,,,
2404,,,,,,,,,C1281594,Entire abdomen
2405,C0019112,Hemorrhoids,,,,,,,,
2405,,,,,,,,,C0005682,Urinary Bladder
2406,C0019112,Hemorrhoids,,,,,,,,
2407,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2407,,,C1442877,Sore skin,,,,,,
2407,,,C0231218,Malaise,,,,,,
2407,,,C0242429,Sore Throat,,,,,,
2407,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
2407,,,C0085593,Chills,,,,,,
2407,,,,,C0851189,Application of ice packs,,,,
2407,,,,,C0204774,Soaking Procedure,,,,
2407,,,,,C0374711,Surgical repair,,,,
2407,,,,,C0814263,Meditation Therapy,,,,
2407,,,,,C2709207,Rx therapy,,,,
2407,,,,,,,C2961685,Magnesium Sulfate 1000 MG Oral Granules,,
2407,,,,,,,,,C0222328,Skin structure of all toes
2407,,,,,,,,,C0018563,Hand
2407,,,,,,,,,C0222001,Structure of nail of finger
2407,,,,,,,,,C1184743,bony process
2407,,,,,,,,,C0448913,Entire skin of heel
2407,,,,,,,,,C0016504,Foot
2407,,,,,,,,,C0028429,Nose
2408,C0019112,Hemorrhoids,,,,,,,,
2409,C0019112,Hemorrhoids,,,,,,,,
2409,,,C0016204,Flatulence,,,,,,
2409,,,C0026821,Muscle Cramp,,,,,,
2409,,,,,C3275067,Cardiac Lead Procedure,,,,
2409,,,,,,,,,C0009368,Colon structure (body structure)
2410,C0019112,Hemorrhoids,,,,,,,,
2410,,,,,,,,,C0034896,Rectum
2411,C0019112,Hemorrhoids,,,,,,,,
2411,,,C0231218,Malaise,,,,,,
2411,,,C0033774,Pruritus,,,,,,
2411,,,C0030193,Pain,,,,,,
2411,,,C0683369,Clouded consciousness,,,,,,
2411,,,,,C0184661,Interventional procedure,,,,
2411,,,,,C0185014,Banding procedure,,,,
2411,,,,,C0152277,Incision and drainage,,,,
2411,,,,,C0442965,Cosmetic procedure,,,,
2411,,,,,C0280599,altretamine/etoposide/methotrexate protocol,,,,
2411,,,,,,,,,C0003461,Anus
2412,C0018572,Hand| Foot and Mouth Disease,,,,,,,,
2412,,,C0221423,Illness (finding),,,,,,
2412,,,C0234238,Ache,,,,,,
2412,,,C0015230,Exanthema,,,,,,
2412,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
2412,,,C0085624,Burning sensation,,,,,,
2412,,,,,,,,,C0018563,Hand
2412,,,,,,,,,C0022742,Knee
2412,,,,,,,,,C1281591,Entire face
2412,,,,,,,,,C0016504,Foot
2412,,,,,,,,,C1281592,Entire neck
2413,C0019112,Hemorrhoids,,,,,,,,
2413,,,C0231218,Malaise,,,,,,
2413,,,C0030193,Pain,,,,,,
2413,,,C0027769,Nervousness,,,,,,
2413,,,C0234255,Night pain,,,,,,
2413,,,,,C0152060,Transection (procedure),,,,
2413,,,,,C0023690,Ligation,,,,
2413,,,,,C0085675,Sitz Bath Therapy,,,,
2413,,,,,C0184661,Interventional procedure,,,,
2413,,,,,C1515884,Acupuncture and Oriental Medicine,,,,
2413,,,,,C0002766,Pain management,,,,
2413,,,,,C0087111,Therapeutic procedure,,,,
